epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.2118417639285326,0.12111601959924809,1.2286084266809316,0.09267828908185359,0.16780399530152604
1,0.0001,1.0993155287578702,0.26764487444998347,1.0599498675419734,0.27269617113906114,0.4219694056463468
2,0.0001,1.002176777459681,0.31101211575811194,0.9987370912845318,0.22006861371465655,0.3563851640097706
3,0.0001,0.9258177680894732,0.3154083363153526,0.8688973857806279,0.3230032272974545,0.4722226921041839
4,0.0001,0.8469771519303322,0.3530049300553706,0.8927393326392541,0.2426015818506685,0.3811599619111648
5,0.0001,0.7914718529209495,0.36120710363333386,0.7938756630970881,0.34997455843936653,0.5060304105829235
6,0.0001,0.7410480519756675,0.3763350524038038,0.7396493535775405,0.3312228702789586,0.48246088917766267
7,0.0001,0.704772031866014,0.39139918212366964,0.7539548699672406,0.29412685845734315,0.43716575143054726
8,0.0001,0.6616242816671729,0.40776172074986095,0.6645731467467088,0.4062244962152819,0.5626699204149175
9,0.0001,0.6426832028664649,0.41507654470094363,0.6555433869361877,0.38257988133197907,0.5364377504471999
10,0.0001,0.6385330348275602,0.4152972835761329,0.6396215576391954,0.42376962447634076,0.5781134190854708
11,0.0001,0.5972256315872073,0.44567036342415217,0.6301491746535668,0.409091126579289,0.5661554307917473
12,0.0001,0.6046697674319148,0.4297208964043542,0.8289515220201933,0.3326610454029084,0.48973293109581195
13,0.0001,0.5939704440534115,0.44086451439102803,0.5677939836795514,0.4575838520555834,0.6125400879609897
14,0.0001,0.5677718273364007,0.45377526883015784,0.5689574287487911,0.47756571111464124,0.630397081405135
15,0.0001,0.571098024956882,0.45655071701109556,0.6676562465154208,0.426766399049172,0.5832333094351718
16,0.0001,0.5642823944799602,0.4653530425140121,0.5700558699094332,0.44759565407881163,0.6014148759243664
17,0.0001,0.541656716261059,0.47224205187695245,0.5932378512162428,0.46280655030636425,0.6198330479290634
18,0.0001,0.5520717035979033,0.4668403473508295,0.5443209822361286,0.4772500991424931,0.6317011521019561
19,0.0001,0.5468823569826782,0.46397783050653674,0.5816406525098361,0.45332524957430376,0.6093195503330887
20,0.0001,0.5281695383600891,0.47876845891728315,0.5334348522699797,0.4929073416386407,0.646523957274446
21,0.0001,0.5282306638546288,0.48621314030607243,0.4980416022814237,0.5042885852410102,0.6551013592857851
22,0.0001,0.5091614159755409,0.49145807796072327,0.5831289814068721,0.430149684858818,0.5858358060293815
23,0.0001,0.5042138006538153,0.4996764074191422,0.6779957771301269,0.30798130744629626,0.4576403051544241
